Fold,Analysis,Model,Train_n,Test_n,Unique_Molecules_Train,Unique_Molecules_Test,Overlapping_Molecules_Train_Test,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
37,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994398085304431,0.3112788647342995,0.5034385836500845,0.5034451725850494,0.9964794550199638,0.8243601717659692,1.2764614936937204,1.2750934730939218
38,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9995032772341222,0.30144357890499024,0.4748228479984357,0.4748474443740898,0.9955945849567828,0.8761491411701531,1.4187814302453021,1.4179599373982439
39,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.999437266017602,0.30525986983360226,0.5058625351433585,0.5058592366420775,0.9958308237041553,0.859787010198606,1.3726038332264772,1.3730899571056163
40,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994448852193657,0.306226939076757,0.49889908123224985,0.49891022362422915,0.996412912818131,0.8059941760601231,1.3085625630822078,1.3083099539813585
41,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994690549399817,0.3020251476113781,0.489594029803776,0.489617573602486,0.9962252390985626,0.8136380300590444,1.327324460079412,1.3269842090791357
42,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.999423599960092,0.3072556025228118,0.5091579570127852,0.50920714989281,0.9957670118968637,0.888070101986044,1.4156904635260215,1.415687314336108
43,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.999457099561415,0.30967230273751895,0.5019010159166188,0.501931099833604,0.9964094665965076,0.8085766774020372,1.221474885231167,1.2207836926300577
44,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994307750382142,0.3108029320987652,0.5070260411624279,0.5070065804221598,0.9963576304627351,0.8052124530327441,1.3024541188538854,1.3028647490005778
45,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994585173102711,0.30455020128824467,0.49937117866182423,0.49941511641445635,0.9959238868289264,0.8573113794954406,1.3246257117152236,1.3246773277947814
46,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994466098277295,0.3059217525496509,0.5002810653822821,0.5002999893172547,0.9960138625036516,0.8493700483091812,1.3589226164286965,1.3584603865285794
47,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994486755267731,0.3101847155126139,0.4988894537961814,0.49892711235044834,0.9964391235768971,0.7983681964573265,1.2882298035141817,1.288702926633126
48,RandomRowSplit,RandomForestOpt1,4968,1242,71,70,70,0.999424280033348,0.30564850375738006,0.5116651121593381,0.5116756841899432,0.9949791809301257,0.9155175254965129,1.509215258408521,1.5096413886384334
49,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994632311210401,0.30805080515297983,0.49252365382970964,0.49252536890634413,0.9966676168440058,0.7805092055823944,1.2446809088116728,1.2444062600068118
50,RandomRowSplit,RandomForestOpt1,4968,1242,71,71,71,0.9994454073739307,0.30818344068706416,0.5035320645646412,0.5035796786889578,0.9954724530993515,0.8736378421900153,1.4176540318505713,1.4182250907450293
