Fold,Analysis,Model,Train_n,Test_n,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
P39,LOMO,RandomForestOpt1,6180,30,0.9996489268982908,0.2510416396979498,0.39975144267338414,0.39978360211620584,0.9981834410991072,0.5543844444444418,0.5946278827661537,0.22183239103289426
P4,LOMO,RandomForestOpt1,6180,30,0.9996479337695144,0.2509941046386185,0.39942572521226466,0.3994481514293705,0.7093275281252465,7.458785555555569,7.509342949106565,0.8847849320979999
P40,LOMO,RandomForestOpt1,6180,30,0.9996481320454902,0.2511649838187695,0.4001668359767017,0.4001986823111865,0.9952590437534573,0.8676544444444533,0.961640244331807,0.4217300875919758
P41,LOMO,RandomForestOpt1,6180,30,0.999649431667436,0.25074666127292283,0.39961224472518725,0.3996441286723732,0.9990741491158458,0.32658888888889237,0.4238023241157708,0.3004083276569954
P42,LOMO,RandomForestOpt1,6180,30,0.9996469005592159,0.25166121359223226,0.40110625190999694,0.40113825287030347,0.9800071674435391,1.9649733333333335,1.9698028068255409,0.1402075938717694
P43,LOMO,RandomForestOpt1,6180,30,0.9996510486320532,0.2501790399136994,0.3986766317200071,0.398708737702046,0.9886921918020128,1.4481422222222233,1.482029090507713,0.32049691374338424
P44,LOMO,RandomForestOpt1,6180,30,0.9996505614350536,0.25085661812297655,0.3989530445183884,0.39898510562174083,0.999607401988268,0.2030477777777799,0.27607848005259666,0.27957087844194617
P45,LOMO,RandomForestOpt1,6180,30,0.9996497402123606,0.2509740291262126,0.3994291473590491,0.39946095434107176,0.9967433383401827,0.7644788888888921,0.795180976396083,0.22256687565011693
P46,LOMO,RandomForestOpt1,6180,30,0.9996507607988645,0.25028069579287937,0.39880718198647064,0.3988389809103842,0.9944884161818525,0.9529688888888967,1.0353572419790826,0.4116596962445219
P5,LOMO,RandomForestOpt1,6180,30,0.9996521093839805,0.24955173139158462,0.397679604031891,0.3977090362177684,0.996064781873849,0.8141577777777724,0.8742585620589136,0.32399735985079986
P6,LOMO,RandomForestOpt1,6180,30,0.999648746068716,0.2507227831715201,0.3997931236669664,0.39982358258027156,0.9945981254905517,0.9862033333333388,1.0242883884452243,0.2814427510094824
P7,LOMO,RandomForestOpt1,6180,30,0.9996452317086657,0.25088795577130424,0.4004183426542083,0.40045067803088874,0.7635487318946994,6.760947777777769,6.771861433781201,0.39087755975371896
P8,LOMO,RandomForestOpt1,6180,30,0.9996516789912329,0.2496347680690391,0.3977761725909694,0.39780747403537675,0.6180577508547884,8.547725555555536,8.613717115041718,1.0823873827851644
P9,LOMO,RandomForestOpt1,6180,30,0.9996498628291764,0.25062441208198377,0.39897960264151705,0.39901172525935674,0.9329011233806415,3.5992422222222262,3.6116031885310216,0.303655346563844
PEL,LOMO,RandomForestOpt1,5880,330,0.9996341240626082,0.25971884920634863,0.40709356677848957,0.40711717538470815,0.9873451990542079,1.667316565656568,2.0361413004109155,1.291696617662649
PEO,LOMO,RandomForestOpt1,5880,330,0.9996348499071146,0.260678458049886,0.4076573477579263,0.40766732362749264,0.9943240590406947,0.8114318181818199,1.3758497136443923,1.1904336296291946
