Model,SMILES_Class,Feature,sum_importance,mean_importance,std_importance,n,sum_share,mean_share,Type,Source
RandomForestOpt1,Phenols,SMILES_SlogP_VSA9,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Phenols,SMILES_VSA_EState10,0.0,0.0,0.0,18,0.0,0.0,VSA,Molecule
RandomForestOpt1,Stilbenes,SMILES_RADICAL_MaxAbsPartialCharge,1.1263456098656301,0.18772426831093836,0.00903318011737415,6,0.1877242683109395,0.1877242683109395,Electronic,Radical
RandomForestOpt1,Stilbenes,GROUP_Phenols,0.615759962633445,0.1026266604389075,0.005589518019662597,6,0.10262666043890813,0.10262666043890813,Experimental,Molecule
RandomForestOpt1,Stilbenes,SMILES_HallKierAlpha,0.4317420276064184,0.07195700460106973,0.0036010760195419643,6,0.07195700460107017,0.07195700460107017,Electronic,Molecule
RandomForestOpt1,Stilbenes,SMILES_MinAbsEStateIndex,0.3005253870820615,0.050087564513676915,0.00038400301903735606,6,0.05008756451367722,0.05008756451367722,Electronic,Molecule
RandomForestOpt1,Stilbenes,SMILES_RADICAL_MolWt,0.2933288307480239,0.04888813845800399,0.005418754037279924,6,0.04888813845800428,0.048888138458004285,Structural,Radical
RandomForestOpt1,Stilbenes,SMILES_RADICAL_HeavyAtomMolWt,0.28447645987005443,0.04741274331167574,0.005388160412580701,6,0.047412743311676026,0.04741274331167603,Structural,Radical
RandomForestOpt1,Stilbenes,SITE_O22,0.2290255381141714,0.038170923019028566,3.168931870212249e-05,6,0.038170923019028795,0.0381709230190288,Experimental,Site
RandomForestOpt1,Stilbenes,SITE_O25,0.2144791445495382,0.0357465240915897,3.238013437169246e-05,6,0.03574652409158992,0.03574652409158992,Experimental,Site
RandomForestOpt1,Stilbenes,SMILES_BalabanJ,0.2011104113734998,0.0335184018955833,0.004097474285002482,6,0.033518401895583506,0.0335184018955835,Structural,Molecule
RandomForestOpt1,Stilbenes,SMILES_RADICAL_Kappa3,0.1914834236470332,0.031913903941172196,0.00532422887190169,6,0.03191390394117239,0.03191390394117239,Structural,Radical
RandomForestOpt1,Stilbenes,SMILES_PEOE_VSA9,0.1903750413827249,0.03172917356378748,0.0009325258430882136,6,0.031729173563787676,0.031729173563787676,VSA,Molecule
RandomForestOpt1,Stilbenes,SITE_O18,0.1893083588982135,0.031551393149702255,3.1518940173046985e-05,6,0.03155139314970244,0.03155139314970245,Experimental,Site
RandomForestOpt1,Stilbenes,SITE_O20,0.1889245037873958,0.0314874172978993,3.210403521270383e-05,6,0.03148741729789949,0.03148741729789949,Experimental,Site
RandomForestOpt1,Stilbenes,SMILES_RADICAL_MinPartialCharge,0.1642351641941665,0.027372527365694416,0.002408965863681324,6,0.027372527365694583,0.027372527365694583,Electronic,Radical
RandomForestOpt1,Stilbenes,SITE_O26,0.1279084355107317,0.021318072585121948,1.4280653661590481e-05,6,0.02131807258512208,0.02131807258512208,Experimental,Site
RandomForestOpt1,Stilbenes,SMILES_RADICAL_Chi1v,0.11216740197952829,0.018694566996588047,0.0010718069921007208,6,0.018694566996588162,0.018694566996588162,Structural,Radical
RandomForestOpt1,Stilbenes,SMILES_RADICAL_Chi0v,0.1042396585482907,0.017373276424715117,0.0011895580837462047,6,0.01737327642471522,0.017373276424715225,Structural,Radical
