Analysis,Model,Train_Molecule_Count,Repeat,Train_Row_Count,Test_Row_Count,Test_Molecule_Count,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
MoleculeCountLearningCurve,RandomForestOpt1,20,17,2160,4050,51,0.9994978510260178,0.29301024691358013,0.4598068040810385,0.45929657559637227,0.9049891875777039,4.0510451934156375,6.608223695620392,6.541759521999694
MoleculeCountLearningCurve,RandomForestOpt1,20,18,1590,4620,51,0.999371810768877,0.3261427882599562,0.5242957540613536,0.5240741770079016,0.8161264779115072,6.400419711399711,9.194299206727802,9.15139461606119
MoleculeCountLearningCurve,RandomForestOpt1,20,19,2310,3900,51,0.9996112629729583,0.2743134343434328,0.4312349714157113,0.43114635759953973,0.7808071292487596,6.231649675213674,9.791436614652133,9.702598306246951
MoleculeCountLearningCurve,RandomForestOpt1,20,20,1920,4290,51,0.9994100926072975,0.3246675347222221,0.513794450658801,0.513298320910664,0.8157458017064001,6.961055112665113,9.1822722072244,8.439693790649875
MoleculeCountLearningCurve,RandomForestOpt1,20,21,1290,4920,51,0.9991001399929166,0.3980955813953501,0.6308633850897187,0.629068308601102,0.8976423734911665,4.46437174119241,6.836888403363762,6.761501751706094
MoleculeCountLearningCurve,RandomForestOpt1,20,22,1920,4290,51,0.9993875723495484,0.31981628472222196,0.5039180956652459,0.5030237706446226,0.9083887440856595,4.089680979020981,6.53808395545203,6.166952180088317
MoleculeCountLearningCurve,RandomForestOpt1,20,23,1980,4230,51,0.9993821169874718,0.3649926430976412,0.5525900752546311,0.5524170368958623,0.9281784197069207,3.261632009456264,5.580149745224447,5.5076639859021945
MoleculeCountLearningCurve,RandomForestOpt1,20,24,2550,3660,51,0.9994837824763235,0.2933996862745105,0.4662650274828626,0.4659797277651567,0.9083389635134268,3.8090354371584696,6.485825287419192,6.15176761008541
MoleculeCountLearningCurve,RandomForestOpt1,20,25,1770,4440,51,0.999396787539186,0.33546563088512127,0.5358855790791859,0.5351168008755264,0.8862549449817435,4.585698828828827,7.112987812362873,7.100322367861977
MoleculeCountLearningCurve,RandomForestOpt1,20,26,1560,4650,51,0.999351663663319,0.31840461538461423,0.506145511497549,0.5056183066021515,0.7730029601427697,6.064794473118278,10.36639603387049,10.041295076326927
MoleculeCountLearningCurve,RandomForestOpt1,20,27,1710,4500,51,0.999350841040728,0.3808947953216357,0.5868151131950089,0.5865501409914675,0.8219651703890076,4.999558822222222,8.691949369818866,8.338333693243964
MoleculeCountLearningCurve,RandomForestOpt1,20,28,1800,4410,51,0.9993757566413831,0.31667975925925956,0.49696076662903693,0.4967879149312279,0.8692867068536304,4.377722161753591,7.886575142278061,7.694928274267523
MoleculeCountLearningCurve,RandomForestOpt1,20,29,1950,4260,51,0.9995313328199545,0.30215644444444417,0.46208587149812175,0.46156978649004765,0.8981841797521104,3.9905314866979644,6.7949296194957665,6.6242347454140615
MoleculeCountLearningCurve,RandomForestOpt1,20,30,1920,4290,51,0.9993966928001745,0.325261475694442,0.5241305229053956,0.5234559263027421,0.9062188593411101,3.9180470940170964,6.506921810947181,6.186951659643984
