Model,SMILES_Class,R2,R2_bootstrap_STD,MAE,MAE_bootstrap_STD,RMSE,RMSE_bootstrap_STD,Residuals_STD
LinearRegression,Naphthacenes,0.9346013639519081,0.012308659412924113,3.2454667657216394,0.2095908696844092,3.833618553716645,0.16202389574884654,3.83967090749326
LinearRegression,Naphthalenes,0.9548330239811962,0.010928189363451928,2.913978291829427,0.08200486899251784,2.985725809821169,0.07960634628394227,3.010919637835985
LinearRegression,Organooxygen compounds,-1.586348533577984e+18,3.634411664865368e+17,10499837757.56679,1531515378.926331,18186252443.256104,1336712335.191313,14932201338.27252
LinearRegression,Phenols,-1.0136989449103182e+18,1.1466318688699778e+17,4978308264.128383,506892319.8326003,16973868687.318687,882875581.8235117,16234922739.706741
LinearRegression,Stilbenes,0.5204840156228858,0.07735407873820829,7.744231170654297,0.4531412301601921,9.76665423926858,0.4775116966990873,9.68798455225624
MLP,Overall,0.9437732876996213,0.0019593032613434685,3.574305918538639,0.04503342631968773,5.055317964849731,0.07838641380177605,5.055181300361404
MLP,Anthracenes,0.9837710292397261,0.00370159649356047,1.505126697988885,0.11472161194294057,1.8673126990260793,0.13238840677384578,1.8500017864361775
MLP,Benzene and substituted derivatives,0.8130813144171225,0.022592821174936977,4.723813023417963,0.2051811088299012,6.465817450777907,0.34808607979612416,6.43711885407109
MLP,Cinnamic acids and derivatives,0.9809558665259639,0.0023031245508274,1.609517631844742,0.06962673837373887,1.978194673725622,0.0763378240906616,1.9769770283561157
MLP,Flavonoids,0.9456146580953914,0.002968754502903968,3.058821504779701,0.048842728340491144,4.367050061025558,0.1121997400403555,4.355232417401423
MLP,Naphthacenes,0.9786789488726462,0.004435776829853859,1.8685137182890843,0.11664065066147396,2.188914804900961,0.1286394923446473,2.115217079103861
MLP,Naphthalenes,0.9715225689798985,0.005649175540402352,2.112316856435213,0.13621826457966443,2.3707721624985867,0.13516723341738004,2.3667484421435345
MLP,Organooxygen compounds,0.8613086454400565,0.0275483228462458,4.615288851945124,0.29565108232458787,5.377353711135655,0.29690551531843856,5.264683195166708
MLP,Phenols,0.8052749408062965,0.01007851306953779,6.025882283662607,0.13144363949997237,7.439388912297406,0.12860052800490274,7.334594495391622
MLP,Stilbenes,0.972059604630329,0.003852608028696711,1.961415291478574,0.09814077469959309,2.3575479920175644,0.10698373916904963,2.3640614565377582
RandomForest,Overall,0.9435812769753679,0.0023974876340137393,2.708665716586151,0.05185270800181341,5.063942406304157,0.10382622925140203,5.061035664978616
RandomForest,Anthracenes,0.909915711154227,0.02273099158809317,3.031269999999999,0.3478837805502065,4.399426728828808,0.3456541204020952,3.622728440279678
RandomForest,Benzene and substituted derivatives,0.8996651897973731,0.01518940359983576,2.833809111111112,0.17936378215398596,4.73721282718248,0.34384971436498374,4.6554357155953
RandomForest,Cinnamic acids and derivatives,0.9175752424811716,0.0100869913162296,3.2892888888888883,0.1497732920388654,4.115449330060606,0.17055358798008322,4.055361765747184
RandomForest,Flavonoids,0.9765707208361522,0.003030851029649712,1.3082081538461539,0.04274538520491563,2.8663333871815744,0.1824389364368278,2.863812079643025
RandomForest,Naphthacenes,0.799588671668568,0.038548125913555414,6.3322044444444465,0.23887889543847685,6.71097600704332,0.2237421335275796,6.722917280677079
RandomForest,Naphthalenes,0.9536372930969859,0.01225478945214507,2.773203333333333,0.15888726172356615,3.0249890512198547,0.14542853160842337,2.8160216126365505
RandomForest,Organooxygen compounds,0.9210586739916785,0.01936349194927449,2.520961111111112,0.3329534751985295,4.056916957507402,0.3796508102076064,3.3605036125332384
RandomForest,Phenols,0.6637896846121094,0.020516416445946335,7.364805648148147,0.18472034535570353,9.775339688717935,0.2117521554046021,9.620006915100914
RandomForest,Stilbenes,0.9579577484367597,0.006383972418751511,2.0305483333333325,0.1510794235444457,2.891926506817442,0.1492616859031057,2.8813935997613727
RandomForestOpt1,Overall,0.9444278119416654,0.0023411867262123167,2.738810155662909,0.05399405941312995,5.025807845567649,0.10452065727006792,5.02475423487633
RandomForestOpt1,Anthracenes,0.913743451057035,0.021007918019929288,2.953718518518526,0.3273013430971401,4.3049449379624996,0.3212169225226401,3.502467607016839
RandomForestOpt1,Benzene and substituted derivatives,0.9072673091223961,0.013848640028716415,2.754049185185186,0.16867067362867202,4.554214806221259,0.32301907882624653,4.4725996374922605
RandomForestOpt1,Cinnamic acids and derivatives,0.9164158640811719,0.01009764868787939,3.3009360493827176,0.1464462027311442,4.144292009117033,0.1638338372585561,4.07089227811026
RandomForestOpt1,Flavonoids,0.976572496666803,0.002717348364629357,1.3740489145299142,0.041561477017382456,2.866224757737523,0.1642182366137123,2.857851737010167
RandomForestOpt1,Naphthacenes,0.7998076441120098,0.03628850362908451,6.343459999999992,0.22760377826215497,6.707308748185172,0.21293100133466533,6.709769461631268
RandomForestOpt1,Naphthalenes,0.9553294022739784,0.011087287777485922,2.701974999999993,0.1595564353052165,2.9692741451748197,0.14485025862946885,2.7510944217770144
RandomForestOpt1,Organooxygen compounds,0.9154658100824284,0.022176042302204484,2.581739999999998,0.34882280356500345,4.19817083378634,0.39558485111862496,3.4557452984199624
RandomForestOpt1,Phenols,0.6692281907653246,0.02079442322951422,7.336799691358025,0.19461635101085226,9.69595486600049,0.21920962498026916,9.546354935251685
RandomForestOpt1,Stilbenes,0.9586068786618981,0.0063875750858561325,2.0204477777777803,0.14654514948459052,2.8695140594524116,0.14491985827786463,2.8585361377541005
